豆瓣排名,电影名,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,豆瓣评分,评价人数,星星数,五星比例,四星比例,三星比例,二星比例,一星比例
127,['萤火之森 蛍火の杜へ'],['绿川幸'],"['佐仓绫音', '内山昂辉', '辻亲八']","['剧情', '爱情', '动画', '奇幻']",[' 日本'],[' 日语'],['2011-09-17(日本)'],['45分钟'],['8.8'],['238244'],['45'],['53.4%'],['35.0%'],['10.5%'],['0.9%'],['0.3%']
,,,,,,,,,,,,,,,,
128,['蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises'],"['大卫·S·高耶', '乔纳森·诺兰', '克里斯托弗·诺兰']","['克里斯蒂安·贝尔', '汤姆·哈迪', '安妮·海瑟薇']","['剧情', '动作', '科幻', '惊悚', '犯罪']",[' 美国 / 英国'],[' 英语 / 阿拉伯语'],"['2012-08-27(中国大陆)', '2012-07-20(美国)']",['165分钟'],['8.7'],['391333'],['45'],['47.9%'],['39.3%'],['11.5%'],['1.0%'],['0.3%']
,,,,,,,,,,,,,,,,
129,['唐伯虎点秋香 唐伯虎點秋香'],"['李力持', '谷德昭', '陈文强']","['周星驰', '巩俐', '陈百祥']","['喜剧', '爱情', '古装']",[' 香港'],[' 粤语'],['1993-07-01(香港)'],['102 分钟'],['8.5'],['503559'],['45'],['41.5%'],['44.3%'],['13.3%'],['0.8%'],['0.2%']
,,,,,,,,,,,,,,,,
130,['超能陆战队 Big Hero 6'],"['乔丹·罗伯茨', '丹尼尔·吉尔森', '罗伯特·L·贝尔德']","['斯科特·安第斯', '瑞恩·波特', '丹尼尔·海尼']","['喜剧', '动作', '科幻', '动画', '冒险']",[' 美国'],[' 英语'],"['2015-02-28(中国大陆)', '2014-10-23(东京电影节)', '2014-11-07(美国)']",['102分钟'],['8.6'],['526016'],['45'],['45.3%'],['41.8%'],['11.9%'],['0.8%'],['0.2%']
,,,,,,,,,,,,,,,,
131,"['怪兽电力公司 Monsters, Inc.']","['安德鲁·斯坦顿', '丹尼尔·吉尔森', '罗伯特·L·贝尔德', '瑞特·里斯', '乔纳森·罗伯特 ', '彼特·道格特', '杰夫·皮金', '吉尔·卡尔顿', '拉夫·埃格尔斯顿']","['约翰·古德曼', '比利·克里斯托', '玛丽·吉布斯']","['喜剧', '动画', '儿童', '奇幻', '冒险']",[' 美国'],[' 英语'],"['2001-11-02(美国)', '2012-12-19(美国)']",['92 分钟'],['8.6'],['340613'],['45'],['44.2%'],['43.9%'],['11.3%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
132,['岁月神偷 歲月神偷'],"['罗启锐', '张婉婷']","['吴君如', '任达华', '钟绍图']","['剧情', '家庭']",[' 香港 / 中国大陆'],[' 粤语 / 汉语普通话 / 英语 / 上海话 / 法语'],"['2010-04-16(中国大陆)', '2010-02-14(柏林电影节)', '2010-03-11(香港)']",['117分钟'],['8.7'],['379434'],['45'],['46.9%'],['40.4%'],['11.6%'],['0.9%'],['0.2%']
,,,,,,,,,,,,,,,,
133,['电锯惊魂 Saw'],"['温子仁', '雷·沃纳尔']","['雷·沃纳尔', '加利·艾尔维斯', '丹尼·格洛弗']","['悬疑', '惊悚', '恐怖']",[' 美国'],[' 英语'],"['2004-01-19(圣丹斯电影节)', '2004-10-29(美国)']",['103分钟'],['8.7'],['268738'],['45'],['49.8%'],['37.5%'],['11.4%'],['1.0%'],['0.4%']
,,,,,,,,,,,,,,,,
134,['七武士 七人の侍'],"['黑泽明', '小国英雄', '桥本忍']","['三船敏郎', '志村乔', '稻叶义男']","['剧情', '动作', '冒险']",[' 日本'],[' 日语'],['1954-04-26(日本)'],['160分钟(国际版)'],['9.2'],['103588'],['45'],['67.6%'],['26.2%'],['5.4%'],['0.5%'],['0.3%']
,,,,,,,,,,,,,,,,
135,['谍影重重3 The Bourne Ultimatum'],"['托尼·吉尔罗伊', '乔治·诺非', '斯科特·Z·本恩斯']","['马特·达蒙', '朱丽娅·斯蒂尔斯', '大卫·斯特雷泽恩']","['动作', '悬疑', '惊悚']",[' 美国 / 德国'],[' 英语 / 法语 / 阿拉伯语 / 俄语 / 西班牙语'],"['2007-11-15(中国大陆)', '2007-08-03(美国)']",['115分钟'],['8.7'],['241229'],['45'],['49.2%'],['39.7%'],['10.4%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
136,['无人知晓 誰も知らない'],['是枝裕和'],"['柳乐优弥', '北浦爱', '木村飞影']",['剧情'],[' 日本'],[' 日语'],"['2004-05-13(戛纳电影节)', '2004-08-07(日本)']",['141分钟'],['9.1'],['118045'],['45'],['61.5%'],['32.8%'],['5.2%'],['0.4%'],['0.2%']
,,,,,,,,,,,,,,,,
137,['真爱至上 Love Actually'],['理查德·柯蒂斯'],"['休·格兰特', '科林·费尔斯', '艾玛·汤普森']","['剧情', '喜剧', '爱情']",[' 英国 / 美国 / 法国'],[' 英语 / 葡萄牙语 / 法语'],"['2003-09-07(多伦多电影节)', '2003-11-06(美国)', '2003-11-21(英国)']",['135 分钟'],['8.6'],['413247'],['45'],['45.6%'],['38.5%'],['14.4%'],['1.3%'],['0.3%']
,,,,,,,,,,,,,,,,
138,['疯狂原始人 The Croods'],"['克里斯·桑德斯', '柯克·德·米科', '约翰·克立斯']","['尼古拉斯·凯奇', '艾玛·斯通', '瑞恩·雷诺兹']","['喜剧', '动画', '冒险']",[' 美国'],[' 英语'],"['2013-04-20(中国大陆)', '2013-02-15(柏林电影节)', '2013-03-22(美国)']",['98分钟'],['8.7'],['490788'],['45'],['47.0%'],['40.2%'],['11.9%'],['0.7%'],['0.2%']
,,,,,,,,,,,,,,,,
139,['喜宴 囍宴'],"['李安', '冯光远', '詹姆斯·夏慕斯']","['赵文瑄', '郎雄', '归亚蕾']","['剧情', '喜剧', '爱情', '同性', '家庭']",[' 台湾 / 美国'],[' 汉语普通话 / 英语'],"['1993-02(柏林电影节)', '1993-08-04(美国)']",['108分钟'],['8.9'],['185283'],['45'],['50.9%'],['41.8%'],['6.9%'],['0.3%'],['0.1%']
,,,,,,,,,,,,,,,,
140,['英雄本色'],"['陈庆嘉', '吴宇森', '梁淑华']","['周润发', '狄龙', '张国荣']","['剧情', '动作', '犯罪']",[' 香港'],[' 粤语 / 汉语普通话 / 英语'],"['2017-11-17(中国大陆)', '1986-08-02(香港)']",['95分钟'],['8.6'],['255981'],['45'],['45.1%'],['43.0%'],['11.3%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
141,['萤火虫之墓 火垂るの墓'],"['高畑勋', '野坂昭如']","['辰己努', '白石绫乃', '志乃原良子']","['剧情', '动画', '战争']",[' 日本'],[' 日语'],['1988-04-16(日本)'],['89 分钟'],['8.7'],['258839'],['45'],['52.8%'],['33.4%'],['10.8%'],['1.7%'],['1.3%']
,,,,,,,,,,,,,,,,
142,['东邪西毒 東邪西毒'],"['王家卫', '金庸']","['张国荣', '林青霞', '梁朝伟']","['剧情', '动作', '爱情', '武侠', '古装']",[' 香港 / 台湾'],[' 粤语 / 汉语普通话'],['1994-09-17(中国大陆)'],['100分钟'],['8.6'],['342710'],['45'],['47.0%'],['38.4%'],['12.7%'],['1.4%'],['0.5%']
,,,,,,,,,,,,,,,,
143,['贫民窟的百万富翁 Slumdog Millionaire'],"['西蒙·博福伊', '维卡斯·史瓦卢普']","['戴夫·帕特尔', '沙鲁巴·舒克拉', '亚尼·卡普']","['剧情', '爱情']",[' 英国 / 美国'],[' 英语 / 印地语 / 法语'],"['2009-03-26(中国大陆)', '2008-08-30(特柳赖德电影节)', '2009-01-09(英国)']",['120 分钟'],['8.5'],['480455'],['45'],['41.7%'],['44.9%'],['12.5%'],['0.8%'],['0.2%']
,,,,,,,,,,,,,,,,
144,['黑天鹅 Black Swan'],"['安德雷斯·海因斯', '马克·海曼', '约翰·J·麦克劳克林']","['娜塔莉·波特曼', '米拉·库尼斯', '文森特·卡索']","['剧情', '惊悚']",[' 美国'],[' 英语 / 法语 / 意大利语'],"['2010-09-01(威尼斯电影节)', '2010-12-17(美国)']",['108分钟'],['8.5'],['526899'],['45'],['41.3%'],['45.4%'],['12.2%'],['0.9%'],['0.2%']
,,,,,,,,,,,,,,,,
145,['记忆碎片 Memento'],"['克里斯托弗·诺兰', '乔纳森·诺兰']","['盖·皮尔斯', '凯瑞-安·莫斯', '乔·潘托里亚诺']","['剧情', '悬疑', '惊悚', '犯罪']",[' 美国'],[' 英语'],"['2000-09-05(威尼斯电影节)', '2000-10-20(英国)', '2001-05-25(美国)']",['113分钟'],['8.6'],['357428'],['45'],['44.1%'],['42.5%'],['12.0%'],['1.1%'],['0.3%']
,,,,,,,,,,,,,,,,
146,['血战钢锯岭 Hacksaw Ridge'],"['安德鲁·奈特', '罗伯特·申坎']","['安德鲁·加菲尔德', '萨姆·沃辛顿', '文斯·沃恩']","['剧情', '传记', '历史', '战争']",[' 美国 / 澳大利亚'],[' 英语'],"['2016-12-08(中国大陆)', '2016-09-04(威尼斯电影节)', '2016-11-04(美国)']",['139分钟(中国大陆)'],['8.7'],['444138'],['45'],['46.2%'],['41.7%'],['11.0%'],['0.9%'],['0.2%']
,,,,,,,,,,,,,,,,
147,['傲慢与偏见 Pride & Prejudice'],"['简·奥斯汀', '黛博拉·莫盖茨']","['凯拉·奈特莉', '马修·麦克费登', '唐纳德·萨瑟兰']","['剧情', '爱情']",[' 法国 / 英国 / 美国'],[' 英语'],['2005-09-16(英国)'],['129 分钟'],['8.5'],['404822'],['45'],['42.6%'],['42.6%'],['13.5%'],['1.1%'],['0.2%']
,,,,,,,,,,,,,,,,
148,['心迷宫'],"['忻钰坤', '冯元良', '鲁妮凡']","['霍卫民', '王笑天', '罗芸']","['剧情', '悬疑', '犯罪']",[' 中国大陆'],[' 汉语普通话'],"['2015-10-16(中国大陆)', '2014-07-21(FIRST青年影展)', '2014-08-28(威尼斯电影节)']",['110分钟(中国大陆)'],['8.7'],['258340'],['45'],['45.4%'],['44.6%'],['9.0%'],['0.7%'],['0.3%']
,,,,,,,,,,,,,,,,
149,['时空恋旅人 About Time'],['理查德·柯蒂斯'],"['多姆纳尔·格里森', '瑞秋·麦克亚当斯', '比尔·奈伊']","['喜剧', '爱情', '奇幻']",[' 英国'],[' 英语'],['2013-09-04(英国)'],['123分钟'],['8.7'],['283330'],['45'],['48.4%'],['38.6%'],['11.9%'],['0.9%'],['0.2%']
,,,,,,,,,,,,,,,,
150,['荒蛮故事 Relatos salvajes'],['达米安·斯兹弗隆'],"['达里奥·格兰迪内蒂', '玛丽娅·玛努尔', '莫妮卡·比利亚']","['剧情', '喜剧', '犯罪']",[' 阿根廷 / 西班牙'],[' 西班牙语'],"['2014-05-17(戛纳电影节)', '2014-08-21(阿根廷)']",['122分钟'],['8.8'],['207921'],['45'],['49.4%'],['41.5%'],['8.4%'],['0.6%'],['0.2%']
,,,,,,,,,,,,,,,,
151,['纵横四海 緃横四海'],"['吴宇森', '高志森', '秦小珍']","['周润发', '张国荣', '钟楚红']","['剧情', '喜剧', '动作', '犯罪']",[' 香港'],[' 粤语 / 汉语普通话 / 客家话 / 英语 / 法语'],['1991-02-02(香港)'],['108分钟'],['8.8'],['211287'],['45'],['49.3%'],['39.9%'],['10.0%'],['0.6%'],['0.1%']
,,,,,,,,,,,,,,,,
152,['雨人 Rain Man'],"['罗纳德·巴斯', '巴里·莫罗']","['达斯汀·霍夫曼', '汤姆·克鲁斯', '瓦莱丽亚·戈利诺']",['剧情'],[' 美国'],[' 英语 / 意大利语'],['1988-12-16(美国)'],['133分钟'],['8.7'],['256742'],['45'],['44.7%'],['45.0%'],['9.8%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
153,['教父3 The Godfather: Part III'],"['马里奥·普佐', '弗朗西斯·福特·科波拉']","['阿尔·帕西诺', '黛安·基顿', '塔莉娅·夏尔']","['剧情', '犯罪']",[' 美国'],[' 英语 / 意大利语 / 德语 / 拉丁语'],['1990-12-25(美国)'],['170分钟'],['8.8'],['179607'],['45'],['52.8%'],['36.4%'],['9.9%'],['0.7%'],['0.2%']
,,,,,,,,,,,,,,,,
154,['达拉斯买家俱乐部 Dallas Buyers Club'],"['克莱格·鲍登', '梅丽莎·沃雷克']","['马修·麦康纳', '詹妮弗·加纳', '杰瑞德·莱托']","['剧情', '同性', '传记']",[' 美国'],[' 英语 / 日语'],"['2013-09-07(多伦多电影节)', '2013-11-22(美国)']",['117分钟'],['8.7'],['251023'],['45'],['46.3%'],['44.6%'],['8.7%'],['0.4%'],['0.1%']
,,,,,,,,,,,,,,,,
155,['完美的世界 A Perfect World'],['约翰·李·汉考克'],"['凯文·科斯特纳', '劳拉·邓恩', '克林特·伊斯特伍德']","['剧情', '犯罪']",[' 美国'],[' 英语'],['1993-11-24(美国)'],['138分钟'],['9.1'],['113347'],['45'],['60.8%'],['31.9%'],['6.5%'],['0.5%'],['0.2%']
,,,,,,,,,,,,,,,,
156,['玩具总动员3 Toy Story 3'],"['迈克尔·阿恩特', '约翰·拉塞特', '安德鲁·斯坦顿', '李·昂克里奇']","['汤姆·汉克斯', '蒂姆·艾伦', '琼·库萨克']","['喜剧', '动画', '奇幻', '冒险']",[' 美国'],[' 英语 / 西班牙语'],"['2010-06-16(中国大陆)', '2010-06-18(美国)']",['103分钟'],['8.8'],['252528'],['45'],['51.3%'],['37.1%'],['11.0%'],['0.6%'],['0.1%']
,,,,,,,,,,,,,,,,
157,['卢旺达饭店 Hotel Rwanda'],"['特瑞·乔治', '凯尔·皮尔森']","['唐·钱德尔', '苏菲·奥康内多', '杰昆·菲尼克斯']","['剧情', '历史', '战争']",[' 英国 / 南非 / 意大利 / 美国'],[' 英语 / 法语'],['2004-12-22(美国)'],['121分钟'],['8.9'],['154392'],['45'],['52.6%'],['39.4%'],['7.5%'],['0.4%'],['0.1%']
,,,,,,,,,,,,,,,,
158,['花样年华 花樣年華'],['王家卫'],"['梁朝伟', '张曼玉', '潘迪华']","['剧情', '爱情']",[' 香港'],[' 粤语 / 上海话 / 法语'],"['2000-05-20(戛纳电影节)', '2000-09-29(香港)']",['98 分钟'],['8.6'],['320055'],['45'],['43.4%'],['43.6%'],['12.1%'],['0.8%'],['0.2%']
,,,,,,,,,,,,,,,,
159,['海边的曼彻斯特 Manchester by the Sea'],['肯尼思·洛纳根'],"['卡西·阿弗莱克', '卢卡斯·赫奇斯', '米歇尔·威廉姆斯']","['剧情', '家庭']",[' 美国'],[' 英语'],"['2017-08-25(中国大陆)', '2016-01-23(圣丹斯电影节)', '2016-11-18(美国)']",['137分钟'],['8.6'],['279369'],['45'],['43.5%'],['43.7%'],['11.6%'],['0.9%'],['0.2%']
,,,,,,,,,,,,,,,,
160,['海洋 Océans'],"['克里斯托夫·谢松', ' 雅克·克鲁奥德', '洛朗·德巴', '斯特凡纳·迪朗', '洛朗·戈德', '雅克·贝汉', '弗朗索瓦·萨兰诺']","['皮尔斯·布鲁斯南', '雅克·贝汉', '姜文']",['纪录片'],[' 法国 / 瑞士 / 西班牙 / 美国 / 阿联酋'],[' 法语 / 英语'],"['2011-08-12(中国大陆)', '2009-10-17(东京电影节)', '2010-01-27(法国)']",['104分钟(法国)'],['9.0'],['113486'],['45'],['61.0%'],['30.9%'],['7.5%'],['0.5%'],['0.2%']
,,,,,,,,,,,,,,,,
161,['恋恋笔记本 The Notebook'],"['扬·萨尔迪', '杰里米·莱文', '尼古拉斯·斯帕克斯']","['瑞恩·高斯林', '瑞秋·麦克亚当斯', '吉娜·罗兰兹']","['剧情', '爱情']",[' 美国'],[' 英语'],['2004-06-25(美国)'],['123分钟'],['8.5'],['366778'],['45'],['43.0%'],['40.9%'],['14.5%'],['1.3%'],['0.3%']
,,,,,,,,,,,,,,,,
162,['被解救的姜戈 Django Unchained'],['昆汀·塔伦蒂诺'],"['杰米·福克斯', '莱昂纳多·迪卡普里奥', '克里斯托弗·沃尔兹']","['剧情', '动作', '西部', '冒险']",[' 美国'],[' 英语 / 法语 / 德语'],"['2013-05-12(中国大陆)', '2012-12-25(美国)']",['163分钟(中国大陆)'],['8.6'],['336793'],['45'],['44.7%'],['43.4%'],['10.9%'],['0.8%'],['0.2%']
,,,,,,,,,,,,,,,,
163,['你看起来好像很好吃 おまえうまそうだな'],"['村上修', '神野博明', '宫西达也']","['山口胜平', '爱河里花子', '加藤清史郎']","['剧情', '动画', '儿童']",[' 日本'],[' 日语'],['2010-10-16(日本)'],['90分钟'],['8.8'],['191751'],['45'],['53.5%'],['36.0%'],['9.7%'],['0.7%'],['0.2%']
,,,,,,,,,,,,,,,,
164,['虎口脱险 La grande vadrouille'],"['热拉尔·乌里', '达妮埃尔·汤普森', '马塞尔·朱利安', '乔治·塔贝', '安德烈·塔贝']","['路易·德·菲奈斯', '布尔维尔', '克劳迪奥·布鲁克']","['喜剧', '战争']",[' 法国 / 英国'],[' 法语 / 英语 / 德语'],['1966-12-08(法国)'],['132分钟'],['8.9'],['133883'],['45'],['57.5%'],['32.5%'],['9.0%'],['0.8%'],['0.3%']
,,,,,,,,,,,,,,,,
165,['二十二'],[],[],['纪录片'],[' 中国大陆'],[' 汉语普通话'],"['2017-08-14(中国大陆)', '2015-10-05(釜山电影节)', '2016-06-25(莫斯科电影节)']",['99分钟(公映版)'],['8.7'],['156450'],['45'],['52.9%'],['33.6%'],['11.5%'],['1.5%'],['0.5%']
,,,,,,,,,,,,,,,,
166,"['三块广告牌 Three Billboards Outside Ebbing, Missouri']",['马丁·麦克唐纳'],"['弗兰西斯·麦克多蒙德', '伍迪·哈里森', '山姆·洛克威尔']","['剧情', '犯罪']",[' 美国 / 英国'],[' 英语'],"['2018-03-02(中国大陆)', '2017-09-04(威尼斯电影节)', '2017-12-01(美国)']",['115分钟'],['8.7'],['456978'],['45'],['46.3%'],['43.5%'],['9.4%'],['0.7%'],['0.2%']
,,,,,,,,,,,,,,,,
167,['头脑特工队 Inside Out'],"['彼特·道格特', '罗纳尔多·德尔·卡门', '梅格·勒福夫', '乔什·库雷', '迈克尔·阿恩特', '西蒙·里奇', '鲍勃·彼德森', '比尔·哈德尔', '艾米·波勒']","['艾米·波勒', '菲利丝·史密斯', '理查德·坎德']","['喜剧', '动画', '冒险']",[' 美国'],[' 英语'],"['2015-10-06(中国大陆)', '2015-06-19(美国)']",['95分钟'],['8.7'],['318758'],['45'],['49.5%'],['37.2%'],['12.0%'],['1.1%'],['0.2%']
,,,,,,,,,,,,,,,,
168,['无敌破坏王 Wreck-It Ralph'],"['菲尔·约翰斯顿', '珍妮弗·李', '瑞奇·摩尔', '吉姆·里尔顿', '约翰·C·赖利', '山姆·J·莱文', '贾里德·斯特恩']","['约翰·C·赖利', '萨拉·西尔弗曼', '杰克·麦克布瑞尔']","['喜剧', '动画', '奇幻', '冒险']",[' 美国'],[' 英语'],"['2012-11-06(中国大陆)', '2012-11-02(美国)']",['101分钟'],['8.7'],['286781'],['45'],['47.5%'],['40.3%'],['11.3%'],['0.7%'],['0.1%']
,,,,,,,,,,,,,,,,
169,["雨中曲 Singin' in the Rain"],"['贝蒂·康登', '阿多夫·格林']","['吉恩·凯利', '唐纳德·奥康纳', '黛比·雷诺斯']","['喜剧', '爱情', '歌舞']",[' 美国'],[' 英语'],['1952-04-11(美国)'],['103分钟'],['9.0'],['118901'],['45'],['58.0%'],['34.2%'],['7.3%'],['0.4%'],['0.1%']
,,,,,,,,,,,,,,,,
170,['冰川时代 Ice Age'],"['迈克尔·伯格 ', '迈克尔·J·威尔森', '彼得·阿克曼']","['雷·罗马诺', '约翰·雷吉扎莫', '丹尼斯·利瑞']","['喜剧', '动画', '冒险']",[' 美国'],[' 英语 / 克罗地亚语'],['2002-03-15(美国)'],['81 分钟'],['8.5'],['358766'],['45'],['39.2%'],['47.5%'],['12.6%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
171,['你的名字。 君の名は。'],['新海诚'],"['神木隆之介', '上白石萌音', '长泽雅美']","['剧情', '爱情', '动画']",[' 日本'],[' 日语'],"['2016-12-02(中国大陆)', '2016-08-26(日本)']",['106分钟'],['8.4'],['697856'],['40'],['42.8%'],['38.7%'],['16.4%'],['1.7%'],['0.5%']
,,,,,,,,,,,,,,,,
172,['我是山姆 I Am Sam'],"['杰茜·尼尔森', '克里斯汀·约翰逊']","['西恩·潘', '达科塔·范宁', '米歇尔·菲佛']","['剧情', '家庭']",[' 美国'],[' 英语'],['2001-12-03(美国)'],['132 分钟'],['8.9'],['142325'],['45'],['53.0%'],['37.8%'],['8.6%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
173,['燃情岁月 Legends of the Fall'],"['威廉·D·威特利夫', '吉姆·哈里森', 'Susan Shilliday']","['布拉德·皮特', '安东尼·霍普金斯', '艾丹·奎因']","['剧情', '爱情', '战争', '西部']",[' 美国'],[' 英语 / 科尼什语'],['1994-12-16(美国)'],['133分钟'],['8.8'],['177773'],['45'],['51.5%'],['36.3%'],['10.9%'],['1.0%'],['0.3%']
,,,,,,,,,,,,,,,,
174,['爆裂鼓手 Whiplash'],['达米恩·查泽雷'],"['迈尔斯·特勒', 'J·K·西蒙斯', '保罗·雷瑟']","['剧情', '音乐']",[' 美国'],[' 英语'],['2014-10-10(美国)'],['107分钟'],['8.6'],['308569'],['45'],['46.9%'],['40.3%'],['11.3%'],['1.1%'],['0.4%']
,,,,,,,,,,,,,,,,
175,['人工智能 Artificial Intelligence: AI'],"['布莱恩·奥尔迪斯', '史蒂文·斯皮尔伯格', 'Ian Watson']","['海利·乔·奥斯蒙', '弗兰西丝·奥康纳', '山姆·洛巴兹']","['剧情', '科幻', '冒险']",[' 美国'],[' 英语'],['2001-06-29(美国)'],['146分钟'],['8.6'],['246861'],['45'],['46.8%'],['38.8%'],['12.9%'],['1.3%'],['0.3%']
,,,,,,,,,,,,,,,,
176,['未麻的部屋 Perfect Blue'],"['村井贞之', '竹内义和']","['岩男润子', '松本梨香', '辻亲八']","['动画', '惊悚', '奇幻']",[' 日本'],[' 日语'],"['1997-07(加拿大奇幻电影节)', '1998-02-28(日本)']",['81 分钟'],['8.9'],['136733'],['45'],['54.4%'],['36.3%'],['8.3%'],['0.6%'],['0.3%']
,,,,,,,,,,,,,,,,
177,['穿越时空的少女 時をかける少女'],"['奥寺佐渡子', '筒井康隆']","['仲里依纱', '石田卓也', '板仓光隆']","['剧情', '爱情', '科幻', '动画']",[' 日本'],[' 日语'],['2006-07-15(日本)'],['98分钟'],['8.6'],['236102'],['45'],['45.9%'],['40.6%'],['12.4%'],['0.9%'],['0.2%']
,,,,,,,,,,,,,,,,
178,['魂断蓝桥 Waterloo Bridge'],"['塞缪尔·N·贝尔曼', '汉斯·拉莫', '乔治·弗罗斯切尔', '罗伯特·E·舍伍德']","['费雯·丽', '罗伯特·泰勒', '露塞尔·沃特森']","['剧情', '爱情', '战争']",[' 美国'],[' 英语 / 法语'],['1940-05-17(美国)'],['108分钟'],['8.8'],['158292'],['45'],['49.7%'],['40.4%'],['9.4%'],['0.4%'],['0.1%']
,,,,,,,,,,,,,,,,
179,['模仿游戏 The Imitation Game'],"['格拉汉姆·摩尔', '安德鲁·霍奇斯']","['本尼迪克特·康伯巴奇', '凯拉·奈特莉', '马修·古迪']","['剧情', '同性', '传记', '战争']",[' 英国 / 美国'],[' 英语 / 德语'],"['2015-07-21(中国大陆)', '2014-11-14(英国)', '2014-12-25(美国)']",['114分钟'],['8.6'],['336152'],['45'],['43.9%'],['43.9%'],['11.5%'],['0.7%'],['0.1%']
,,,,,,,,,,,,,,,,
180,['一个叫欧维的男人决定去死 En man som heter Ove'],"['弗雷德里克·巴克曼', '汉内斯·赫尔姆']","['罗夫·拉斯加德', '巴哈·帕斯', '托比亚斯·阿姆博瑞']",['剧情'],[' 瑞典'],[' 瑞典语 / 波斯语'],['2015-12-25(瑞典)'],['116分钟'],['8.8'],['181131'],['45'],['49.8%'],['40.5%'],['9.0%'],['0.6%'],['0.1%']
,,,,,,,,,,,,,,,,
181,['猜火车 Trainspotting'],"['埃文·威尔什', '约翰·霍奇']","['伊万·麦克格雷格', '艾文·布莱纳', '约翰尼·李·米勒']","['剧情', '犯罪']",[' 英国'],[' 英语'],['1996-02-23(英国)'],['94分钟'],['8.5'],['297198'],['45'],['44.2%'],['40.4%'],['13.6%'],['1.4%'],['0.4%']
,,,,,,,,,,,,,,,,
182,['房间 Room'],['艾玛·多诺霍'],"['布丽·拉尔森', '雅各布·特伦布莱', '肖恩·布里吉格斯']","['剧情', '家庭']",[' 爱尔兰 / 加拿大 / 英国 / 美国'],[' 英语'],"['2015-09-04(特柳赖德电影节)', '2015-10-23(多伦多)', '2016-01-15(爱尔兰/英国)', '2016-01-22(美国)']",['118分钟'],['8.8'],['215503'],['45'],['48.2%'],['43.1%'],['8.1%'],['0.4%'],['0.1%']
,,,,,,,,,,,,,,,,
183,['忠犬八公物语 ハチ公物語'],['新藤兼人'],"['山本圭', '井川比佐志', '片桐入']",['剧情'],[' 日本'],[' 日语'],['1987-08-01(日本)'],['107 分钟'],['9.1'],['89010'],['45'],['62.9%'],['29.6%'],['6.8%'],['0.5%'],['0.2%']
,,,,,,,,,,,,,,,,
184,['恐怖游轮 Triangle'],['克里斯托弗·史密斯'],"['梅利莎·乔治', '利亚姆·海姆斯沃斯', '迈克尔·多曼']","['剧情', '悬疑', '惊悚']",[' 英国 / 澳大利亚'],[' 英语'],['2009-10-16(英国)'],['99 分钟'],['8.4'],['433933'],['40'],['39.2%'],['44.1%'],['14.8%'],['1.5%'],['0.4%']
,,,,,,,,,,,,,,,,
185,['魔女宅急便 魔女の宅急便'],"['宫崎骏', '角野荣子']","['高山南', '佐久间玲', '户田惠子']","['动画', '奇幻', '冒险']",[' 日本'],[' 日语'],['1989-07-29(日本)'],['103分钟'],['8.6'],['262413'],['45'],['41.5%'],['45.6%'],['12.5%'],['0.4%'],['0.1%']
,,,,,,,,,,,,,,,,
186,['罗生门 羅生門'],"['黑泽明', '桥本忍', '芥川龙之介']","['三船敏郎', '千秋实', '京町子']","['剧情', '悬疑', '犯罪']",[' 日本'],[' 日语'],['1950-08-26(日本)'],['88分钟'],['8.7'],['166426'],['45'],['50.0%'],['38.8%'],['10.1%'],['0.9%'],['0.3%']
,,,,,,,,,,,,,,,,
187,['完美陌生人 Perfetti sconosciuti'],"['保罗·杰诺维塞', '菲利波·博洛尼亚', '保罗·克斯泰拉', '宝拉·马米妮', '罗兰多·拉维洛']","['马可·贾利尼', '卡夏·斯穆特尼亚克', '爱德华多·莱奥']","['剧情', '喜剧']",[' 意大利'],[' 意大利语'],"['2018-05-25(中国大陆)', '2016-02-11(意大利)']",['97分钟'],['8.5'],['315130'],['45'],['40.9%'],['46.7%'],['11.5%'],['0.8%'],['0.2%']
,,,,,,,,,,,,,,,,
188,['阿飞正传 阿飛正傳'],['王家卫'],"['张国荣', '张曼玉', '刘嘉玲']","['剧情', '爱情', '犯罪']",[' 香港'],[' 粤语 / 汉语普通话 / 英语 / 菲律宾语 / 上海话'],"['2018-06-25(中国大陆)', '1990-12-15(香港)']",['94分钟'],['8.5'],['279764'],['45'],['39.8%'],['46.7%'],['12.6%'],['0.7%'],['0.2%']
,,,,,,,,,,,,,,,,
189,['哪吒闹海'],['王树忱'],"['梁正晖', '邱岳峰', '毕克']","['动画', '奇幻', '冒险']",[' 中国大陆'],[' 汉语普通话'],['1979-05-19(中国大陆)'],['65分钟'],['8.9'],['113829'],['45'],['57.5%'],['32.7%'],['9.1%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
