豆瓣排名,电影名,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,豆瓣评分,评价人数,星星数,五星比例,四星比例,三星比例,二星比例,一星比例
29,['少年派的奇幻漂流 Life of Pi'],"['扬·马特尔', '大卫·麦基']","['苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波']","['剧情', '奇幻', '冒险']",[' 美国 / 台湾 / 英国 / 加拿大'],[' 英语 / 泰米尔语 / 法语 / 日语 / 印地语 / 汉语普通话'],"['2012-11-22(中国大陆)', '2012-09-28(纽约电影节)', '2012-11-21(美国)']",['127分钟'],['9.0'],['808628'],['45'],['60.7%'],['31.8%'],['6.8%'],['0.5%'],['0.2%']
,,,,,,,,,,,,,,,,
30,['控方证人 Witness for the Prosecution'],"['阿加莎·克里斯蒂', '比利·怀德', '哈里·库尼兹']","['泰隆·鲍华', '玛琳·黛德丽', '查尔斯·劳顿']","['剧情', '悬疑', '犯罪']",[' 美国'],[' 英语 / 德语'],['1957-12-17(美国)'],['116分钟'],['9.6'],['178271'],['50'],['81.3%'],['16.8%'],['1.7%'],['0.1%'],['0.1%']
,,,,,,,,,,,,,,,,
31,['天堂电影院 Nuovo Cinema Paradiso'],"['朱塞佩·托纳多雷', '瓦娜·波利', '理查德·埃帕卡']","['安东内拉·阿蒂利', '恩佐·卡拉瓦勒', '艾萨·丹尼埃利']","['剧情', '爱情']",[' 意大利 / 法国'],[' 意大利语'],['1988-11-17(意大利)'],['155分钟'],['9.2'],['399784'],['45'],['64.7%'],['29.0%'],['5.8%'],['0.4%'],['0.1%']
,,,,,,,,,,,,,,,,
32,['鬼子来了'],"['姜文', '史建全', '述平', '尤凤伟']","['姜文', '香川照之', '袁丁']","['剧情', '历史', '战争']",[' 中国大陆'],[' 汉语普通话 / 日语 / 唐山话'],"['2000-05-12(戛纳电影节)', '2002-04-27(日本)']",['139分钟'],['9.2'],['338355'],['45'],['68.0%'],['26.1%'],['5.3%'],['0.4%'],['0.2%']
,,,,,,,,,,,,,,,,
33,['指环王3：王者无敌 The Lord of the Rings: The Return of the King'],"['弗兰·威尔士', '菲利帕·鲍恩斯', '彼得·杰克逊', 'J·R·R·托尔金']","['维果·莫腾森', '伊莱贾·伍德', '西恩·奥斯汀']","['剧情', '动作', '奇幻', '冒险']",[' 美国 / 新西兰'],[' 英语 / 昆雅语 / 古英语 / 辛达林语'],"['2004-03-12(中国大陆)', '2003-12-17(美国)']",['201分钟'],['9.1'],['406279'],['45'],['65.5%'],['27.2%'],['6.6%'],['0.5%'],['0.2%']
,,,,,,,,,,,,,,,,
