标题,链接,详情,发布时间,浏览量,图片链接
第六届全国并行应用挑战赛（PAC2018）,http://www.52jingsai.com/article-4783-1.html,报名日期：2018年4月1日-7月25日（微信报名）||“PAC走进高校”活动始于2014年与PAC2014同步启动至今已是第5个年头，组织进行了30多场培训，为高校并行计算课程体系的建设提供了良好的平台，目前已经有华北理...,2018-4-1114:52, 6627,http://www.52jingsai.com/data/attachment/portal/201804/11/144542hg8cbdcoodt33k8d.png.thumb.jpg
2018腾讯广告算法大赛,http://www.52jingsai.com/article-4773-1.html,报名时间：2018年3月15日-5月9日||基于社交关系的广告已成为互联网广告行业中发展最为迅速的广告之一。腾讯社交广告依托于腾讯丰富的社交产品，植根于腾讯海量的数据，借助强大的数据分析、机器学习和云计算能力打...,2018-4-917:51, 7930,http://www.52jingsai.com/data/attachment/portal/201804/26/104050b5pb900btptggp83.jpg.thumb.jpg
2018·阿里云校园公益极客挑战赛,http://www.52jingsai.com/article-4430-1.html,大赛名称：2018·阿里云校园公益极客挑战赛||报名截止日期：2018年4月15日||大赛简介“阿里云校园公益极客挑战赛”通过校园组队完成公益技术题目的比拼，大赛为期4个月，在校大学生将通过大赛的专区进行网上报名、上...,2018-3-1618:22, 302179,http://www.52jingsai.com/data/attachment/portal/201803/16/181933en5vv9gt0z3zxnt2.jpg.thumb.jpg
第七届“中国软件杯”大学生软件设计大赛（报名截止时间延期至5月20日）,http://www.52jingsai.com/article-4370-1.html,大赛截止时间：2018年延期至5月20日||大赛名称：第七届“中国软件杯”大学生软件设计大赛||各院校：为贯彻落实《国家中长期教育改革和发展规划纲要(2010-2020年)》，科学引导高校青年学子积极参加科研活动，切实增强...,2018-3-1311:05, 19235,http://www.52jingsai.com/data/attachment/portal/201803/08/150302cwhysw3pyrrjyuqq.png.thumb.jpg
2018国际广告算法大赛,http://www.52jingsai.com/article-4362-1.html,大赛名称：2018国际广告算法大赛||报名截止日期：2018年4月22日||本次大赛面向全社会开放，高等院校、科研单位、互联网企业等人员均可报名参赛。由阿里妈妈，IJCAI2018，天池主办。,2018-3-711:09, 8372,http://www.52jingsai.com/data/attachment/portal/201803/07/110413t678ak8t0k8tak88.png.thumb.jpg
2018届华为软件精英挑战赛,http://www.52jingsai.com/article-4350-1.html,大赛名称：2018届华为软件精英挑战赛作品提交截止日期：2018年4月15日大赛介绍华为软件精英挑战赛是华为公司面向在校大学生举办的大型软件竞赛，从2015年至今已成功举办三届。在软件精英挑战赛的舞台上，我们相信您...,2018-3-511:48, 21745,http://www.52jingsai.com/data/attachment/portal/201803/05/114810gapaatffzktysakm.jpg.thumb.jpg
第二届JoblabXTM大学生计算机能力联赛,http://www.52jingsai.com/article-4325-1.html,大赛名称：第二届JoblabXTM大学生计算机能力联赛初赛开始日期：2018年3月12日随着近年科技创新以及创新型企业的迅猛发展，优秀的IT工程师已经成为科技类企业跨越式发展的核心要素之一，IT岗位也成为近年来...,2018-2-216:49, 10113,http://www.52jingsai.com/data/attachment/portal/201802/02/164851q8jj7vgnrd2r6x75.png.thumb.jpg
2018年(第11届)中国大学生计算机设计大赛,http://www.52jingsai.com/article-4093-1.html,大赛名称：2018年(第11届)中国大学生计算机设计大赛报名截止日期：2018年7月前（各赛区、各学校不一样，请详询各学校教务处或团委）主办单位：教育部高等学校计算机类专业教学指导委员会、软件工程专业教学指导委员...,2017-12-2315:15, 55525,http://www.52jingsai.com/data/attachment/portal/201712/23/151429a4ccf4vt9fq7e8i1.jpg.thumb.jpg
第二届智慧中国杯精品旅行服务成单预测数据竞赛,http://www.52jingsai.com/article-4086-1.html,大赛名称：第二届智慧中国杯精品旅行服务成单预测数据竞赛||大赛截止日期：2018年2月7日23:59:59||竞赛背景#第二届智慧中国杯首发#皇包车（HIGUIDES）是一个为中国出境游用户提供全球中文包车游服务的平台。拥有...,2017-12-2018:12, 6354,http://www.52jingsai.com/data/attachment/portal/201712/21/102523so6rdftsw3mdwkat.png.thumb.jpg
第三届下一代互联网技术创新大赛,http://www.52jingsai.com/article-3937-1.html,大赛名称：第三届下一代互联网技术创新大赛||报名截止时间：2017年10月15日||为响应“网络强国”和“创新驱动”的战略部署，推动我国下一代互联网技术的发展，更好地发挥中国教育和科研计算机网（CERNET）在互联网创...,2017-9-2110:25, 12071,http://www.52jingsai.com/data/attachment/portal/201709/20/115122ygiw7grzjrw41g6a.jpg.thumb.jpg
